开始时间,结束时间,开盘,最高,最低,收盘,成交量,60均线上/下方(1/0),K线数量,涨/跌趋势(+/-),此波幅度,macd绿区,macd红区,异动小于-1.5倍,异动大于1.5倍
2018-11-19 09:15:00,2018-11-19 10:09:00,26156.0,26367.0,26156.0,26247.0,55079.0,1,54,-,211.0,3,3,5,6
2018-11-19 10:09:00,2018-11-19 10:11:00,26247.0,26262.0,26236.0,26262.0,1983.0,0,2,+,26.0,1,0,0,0
2018-11-19 10:11:00,2018-11-19 10:12:00,26262.0,26262.0,26243.0,26243.0,680.0,1,1,-,19.0,1,0,0,0
2018-11-19 10:12:00,2018-11-19 11:02:00,26243.0,26261.0,26088.0,26192.0,36395.0,0,50,-,173.0,3,3,2,1
2018-11-19 11:02:00,2018-11-19 11:22:00,26192.0,26247.0,26159.0,26159.0,12312.0,1,20,+,88.0,1,1,1,1
2018-11-19 11:22:00,2018-11-19 11:26:00,26159.0,26172.0,26140.0,26172.0,2283.0,0,4,+,32.0,1,0,0,0
2018-11-19 11:26:00,2018-11-19 13:00:00,26172.0,26245.0,26172.0,26195.0,10745.0,1,34,+,73.0,3,2,1,1
2018-11-19 13:00:00,2018-11-19 13:01:00,26195.0,26226.0,26195.0,26226.0,557.0,0,1,+,31.0,1,0,0,1
2018-11-19 13:01:00,2018-11-19 13:09:00,26226.0,26236.0,26193.0,26193.0,3409.0,1,8,+,43.0,1,0,1,0
2018-11-19 13:09:00,2018-11-19 13:35:00,26193.0,26206.0,26157.0,26206.0,10700.0,0,26,+,49.0,2,2,0,1
2018-11-19 13:35:00,2018-11-19 13:38:00,26206.0,26217.0,26201.0,26201.0,1281.0,1,3,-,16.0,0,1,0,0
2018-11-19 13:38:00,2018-11-19 13:40:00,26201.0,26203.0,26200.0,26203.0,681.0,0,2,+,3.0,0,1,0,0
2018-11-19 13:40:00,2018-11-19 13:42:00,26203.0,26204.0,26195.0,26195.0,773.0,1,2,-,9.0,0,1,0,0
2018-11-19 13:42:00,2018-11-19 13:46:00,26195.0,26202.0,26192.0,26202.0,1604.0,0,4,+,10.0,0,1,0,0
2018-11-19 13:46:00,2018-11-19 13:47:00,26202.0,26202.0,26186.0,26186.0,412.0,1,1,-,16.0,1,1,1,0
2018-11-19 13:47:00,2018-11-19 13:50:00,26186.0,26200.0,26186.0,26200.0,1028.0,0,3,+,14.0,1,0,0,0
2018-11-19 13:50:00,2018-11-19 13:52:00,26200.0,26204.0,26188.0,26188.0,530.0,1,2,-,16.0,2,1,0,0
2018-11-19 13:52:00,2018-11-19 13:59:00,26188.0,26199.0,26166.0,26199.0,2668.0,0,7,+,33.0,1,1,0,0
2018-11-19 13:59:00,2018-11-19 15:11:00,26199.0,26344.0,26193.0,26269.0,33734.0,1,72,+,151.0,3,3,3,4
2018-11-19 15:11:00,2018-11-19 15:17:00,26269.0,26311.0,26269.0,26311.0,2190.0,0,6,+,42.0,1,0,0,0
2018-11-19 15:17:00,2018-11-19 15:19:00,26311.0,26323.0,26303.0,26303.0,916.0,1,2,-,20.0,1,1,1,0
2018-11-19 15:19:00,2018-11-19 15:41:00,26303.0,26305.0,26252.0,26305.0,6978.0,0,22,+,53.0,1,2,1,2
2018-11-19 15:41:00,2018-11-19 15:45:00,26305.0,26305.0,26288.0,26288.0,1112.0,1,4,-,17.0,0,1,0,0
2018-11-19 15:45:00,2018-11-19 15:46:00,26288.0,26301.0,26288.0,26301.0,209.0,0,1,+,13.0,0,1,0,0
2018-11-19 15:46:00,2018-11-19 16:03:00,26301.0,26308.0,26275.0,26275.0,4524.0,1,17,-,33.0,1,1,1,0
2018-11-19 16:03:00,2018-11-19 16:06:00,26275.0,26297.0,26275.0,26297.0,1390.0,0,3,+,22.0,1,0,0,1
2018-11-19 16:06:00,2018-11-19 16:22:00,26297.0,26346.0,26295.0,26297.0,6136.0,1,16,+,51.0,2,1,1,1
2018-11-19 16:22:00,2018-11-19 17:30:00,26297.0,26302.0,26263.0,26302.0,2718.0,0,23,+,39.0,1,1,1,1
2018-11-19 17:30:00,2018-11-19 17:31:00,26302.0,26302.0,26296.0,26296.0,95.0,1,1,-,6.0,0,1,0,0
2018-11-19 17:31:00,2018-11-19 17:33:00,26296.0,26302.0,26296.0,26302.0,152.0,0,2,+,6.0,0,1,0,0
2018-11-19 17:33:00,2018-11-19 17:37:00,26302.0,26312.0,26298.0,26298.0,432.0,1,4,+,14.0,0,1,1,0
2018-11-19 17:37:00,2018-11-19 18:07:00,26298.0,26298.0,26262.0,26283.0,1843.0,0,30,-,36.0,2,3,1,2
2018-11-19 18:07:00,2018-11-19 18:23:00,26283.0,26299.0,26283.0,26283.0,679.0,1,16,+,16.0,1,1,0,1
2018-11-19 18:23:00,2018-11-19 18:29:00,26283.0,26288.0,26272.0,26288.0,293.0,0,6,+,16.0,1,0,0,0
2018-11-19 18:29:00,2018-11-19 18:30:00,26288.0,26288.0,26268.0,26268.0,131.0,1,1,-,20.0,1,0,1,0
2018-11-19 18:30:00,2018-11-19 18:35:00,26268.0,26281.0,26268.0,26281.0,118.0,0,5,+,13.0,1,0,0,0
2018-11-19 18:35:00,2018-11-19 18:36:00,26281.0,26281.0,26275.0,26275.0,27.0,1,1,-,6.0,1,0,0,0
2018-11-19 18:36:00,2018-11-19 19:00:00,26275.0,26278.0,26249.0,26278.0,1826.0,0,24,+,29.0,1,1,1,2
2018-11-19 19:00:00,2018-11-19 19:01:00,26278.0,26278.0,26268.0,26268.0,39.0,1,1,-,10.0,0,1,0,0
2018-11-19 19:01:00,2018-11-19 19:09:00,26268.0,26283.0,26260.0,26283.0,255.0,0,8,+,23.0,0,1,0,0
2018-11-19 19:09:00,2018-11-19 19:22:00,26283.0,26283.0,26268.0,26268.0,429.0,1,13,-,15.0,1,1,1,0
2018-11-19 19:22:00,2018-11-19 19:26:00,26268.0,26271.0,26259.0,26271.0,160.0,0,4,+,12.0,1,0,1,0
2018-11-19 19:26:00,2018-11-19 19:27:00,26271.0,26271.0,26268.0,26268.0,30.0,1,1,-,3.0,1,0,0,0
2018-11-19 19:27:00,2018-11-19 20:21:00,26268.0,26268.0,26205.0,26241.0,3563.0,0,54,-,63.0,3,3,4,2
2018-11-19 20:21:00,2018-11-19 20:22:00,26241.0,26241.0,26232.0,26232.0,66.0,1,1,-,9.0,0,1,1,0
2018-11-19 20:22:00,2018-11-19 20:30:00,26232.0,26237.0,26225.0,26237.0,346.0,0,8,+,12.0,0,1,0,0
2018-11-19 20:30:00,2018-11-19 20:35:00,26237.0,26238.0,26225.0,26225.0,202.0,1,5,-,13.0,1,1,1,0
2018-11-19 20:35:00,2018-11-19 20:36:00,26225.0,26233.0,26225.0,26233.0,25.0,0,1,+,8.0,1,0,0,0
2018-11-19 20:36:00,2018-11-19 20:48:00,26233.0,26246.0,26218.0,26218.0,601.0,1,12,-,28.0,2,1,1,1
2018-11-19 20:48:00,2018-11-19 20:52:00,26218.0,26229.0,26218.0,26229.0,209.0,0,4,+,11.0,1,0,0,0
2018-11-19 20:52:00,2018-11-19 20:54:00,26229.0,26230.0,26226.0,26226.0,37.0,1,2,-,4.0,1,0,0,0
2018-11-19 20:54:00,2018-11-19 20:55:00,26226.0,26230.0,26226.0,26230.0,18.0,0,1,+,4.0,1,0,0,0
2018-11-19 20:55:00,2018-11-19 20:56:00,26230.0,26230.0,26227.0,26227.0,13.0,1,1,-,3.0,1,0,0,0
2018-11-19 20:56:00,2018-11-19 20:57:00,26227.0,26234.0,26227.0,26234.0,21.0,0,1,+,7.0,1,1,0,0
2018-11-19 20:57:00,2018-11-19 21:01:00,26234.0,26234.0,26227.0,26227.0,99.0,1,4,-,7.0,0,1,0,0
2018-11-19 21:01:00,2018-11-19 21:04:00,26227.0,26234.0,26225.0,26234.0,54.0,0,3,+,9.0,1,2,0,0
2018-11-19 21:04:00,2018-11-19 21:38:00,26234.0,26268.0,26233.0,26239.0,1880.0,1,34,+,35.0,1,1,2,2
2018-11-19 21:38:00,2018-11-19 22:24:00,26239.0,26239.0,26178.0,26221.0,3810.0,0,46,-,61.0,2,2,6,3
2018-11-19 22:24:00,2018-11-19 22:25:00,26221.0,26221.0,26216.0,26216.0,55.0,1,1,-,5.0,0,1,0,0
2018-11-19 22:25:00,2018-11-19 22:26:00,26216.0,26220.0,26216.0,26220.0,53.0,0,1,+,4.0,0,1,0,0
2018-11-19 22:26:00,2018-11-19 22:28:00,26220.0,26221.0,26214.0,26214.0,73.0,1,2,-,7.0,0,1,0,0
2018-11-19 22:28:00,2018-11-19 22:29:00,26214.0,26219.0,26214.0,26219.0,44.0,0,1,+,5.0,0,1,0,0
2018-11-19 22:29:00,2018-11-19 22:33:00,26219.0,26235.0,26192.0,26192.0,893.0,1,4,-,43.0,1,1,1,1
2018-11-19 22:33:00,2018-11-19 22:38:00,26192.0,26216.0,26179.0,26216.0,1061.0,0,5,+,37.0,1,0,1,1
2018-11-19 22:38:00,2018-11-19 22:45:00,26216.0,26232.0,26198.0,26198.0,1131.0,1,7,-,34.0,2,1,1,1
2018-11-19 22:45:00,2018-11-19 22:47:00,26198.0,26209.0,26193.0,26209.0,248.0,0,2,+,16.0,1,0,0,1
2018-11-19 22:47:00,2018-11-19 22:48:00,26209.0,26209.0,26203.0,26203.0,76.0,1,1,-,6.0,1,0,0,0
2018-11-19 22:48:00,2018-11-19 23:40:00,26203.0,26203.0,26070.0,26140.0,8548.0,0,52,-,133.0,2,2,4,3
2018-11-19 23:40:00,2018-11-19 23:41:00,26140.0,26140.0,26128.0,26128.0,139.0,1,1,-,12.0,0,1,0,0
2018-11-19 23:41:00,2018-11-19 23:50:00,26128.0,26130.0,26097.0,26130.0,1095.0,0,9,+,33.0,0,1,1,0
2018-11-19 23:50:00,2018-11-20 00:00:00,26130.0,26157.0,26128.0,26144.0,1073.0,0,10,-,29.0,1,2,0,1
2018-11-20 00:00:00,2018-11-20 00:03:00,26144.0,26144.0,26114.0,26114.0,286.0,1,3,-,30.0,1,1,1,0
2018-11-20 00:03:00,2018-11-20 00:05:00,26114.0,26125.0,26113.0,26125.0,105.0,0,2,+,12.0,1,0,0,0
2018-11-20 00:05:00,2018-11-20 00:09:00,26125.0,26138.0,26115.0,26115.0,227.0,1,4,-,23.0,1,0,0,0
2018-11-20 00:09:00,2018-11-20 09:15:00,26115.0,26115.0,25949.0,25988.0,6511.0,1,51,-,166.0,4,4,4,4
2018-11-20 09:15:00,2018-11-20 09:36:00,25988.0,26046.0,25985.0,26046.0,16863.0,0,21,+,61.0,1,2,1,5
2018-11-20 09:36:00,2018-11-20 09:48:00,26046.0,26106.0,26013.0,26013.0,12120.0,1,12,-,93.0,1,1,2,1
2018-11-20 09:48:00,2018-11-20 09:49:00,26013.0,26025.0,26013.0,26025.0,764.0,0,1,+,12.0,1,0,0,0
2018-11-20 09:49:00,2018-11-20 10:01:00,26025.0,26082.0,26007.0,26007.0,8539.0,1,12,-,75.0,2,1,2,1
2018-11-20 10:01:00,2018-11-20 10:40:00,26007.0,26010.0,25925.0,26010.0,27509.0,0,39,+,85.0,2,2,2,1
2018-11-20 10:40:00,2018-11-20 10:43:00,26010.0,26013.0,25974.0,25974.0,2466.0,1,3,-,39.0,0,1,0,0
2018-11-20 10:43:00,2018-11-20 10:44:00,25974.0,25987.0,25974.0,25987.0,647.0,0,1,+,13.0,0,1,0,0
2018-11-20 10:44:00,2018-11-20 10:46:00,25987.0,25989.0,25956.0,25956.0,1134.0,1,2,-,33.0,1,1,1,0
2018-11-20 10:46:00,2018-11-20 10:48:00,25956.0,25988.0,25956.0,25988.0,1256.0,0,2,+,32.0,1,0,0,0
2018-11-20 10:48:00,2018-11-20 10:49:00,25988.0,25988.0,25977.0,25977.0,454.0,1,1,-,11.0,1,0,0,0
2018-11-20 10:49:00,2018-11-20 10:50:00,25977.0,26002.0,25977.0,26002.0,629.0,0,1,+,25.0,1,1,0,1
2018-11-20 10:50:00,2018-11-20 11:00:00,26002.0,26002.0,25948.0,25948.0,5302.0,1,10,-,54.0,2,2,0,0
2018-11-20 11:00:00,2018-11-20 11:53:00,25948.0,25948.0,25732.0,25870.0,39185.0,0,53,-,216.0,2,2,3,2
2018-11-20 11:53:00,2018-11-20 11:54:00,25870.0,25870.0,25860.0,25860.0,372.0,1,1,-,10.0,0,1,0,0
2018-11-20 11:54:00,2018-11-20 13:07:00,25860.0,25860.0,25819.0,25847.0,4960.0,0,13,-,41.0,1,2,0,0
2018-11-20 13:07:00,2018-11-20 13:20:00,25847.0,25863.0,25808.0,25808.0,5079.0,1,13,-,55.0,1,1,0,1
2018-11-20 13:20:00,2018-11-20 13:25:00,25808.0,25825.0,25804.0,25825.0,3248.0,0,5,+,21.0,1,0,0,0
2018-11-20 13:25:00,2018-11-20 13:27:00,25825.0,25832.0,25814.0,25814.0,600.0,1,2,-,18.0,2,1,0,0
2018-11-20 13:27:00,2018-11-20 14:15:00,25814.0,25814.0,25754.0,25798.0,18408.0,0,48,-,60.0,3,3,5,1
2018-11-20 14:15:00,2018-11-20 14:37:00,25798.0,25823.0,25780.0,25780.0,8273.0,1,22,-,43.0,2,2,1,0
2018-11-20 14:37:00,2018-11-20 14:50:00,25780.0,25813.0,25773.0,25813.0,4659.0,0,13,+,40.0,1,1,0,1
2018-11-20 14:50:00,2018-11-20 15:03:00,25813.0,25843.0,25796.0,25796.0,5356.0,1,13,+,47.0,1,1,1,1
2018-11-20 15:03:00,2018-11-20 15:06:00,25796.0,25802.0,25792.0,25802.0,1362.0,0,3,+,10.0,1,0,0,0
2018-11-20 15:06:00,2018-11-20 15:08:00,25802.0,25803.0,25788.0,25788.0,563.0,1,2,-,15.0,1,0,1,0
2018-11-20 15:08:00,2018-11-20 15:22:00,25788.0,25794.0,25745.0,25794.0,6335.0,0,14,+,49.0,1,1,1,2
2018-11-20 15:22:00,2018-11-20 15:25:00,25794.0,25797.0,25785.0,25785.0,713.0,1,3,+,12.0,0,1,0,0
2018-11-20 15:25:00,2018-11-20 15:26:00,25785.0,25802.0,25785.0,25802.0,381.0,0,1,+,17.0,0,1,0,1
2018-11-20 15:26:00,2018-11-20 15:58:00,25802.0,25839.0,25802.0,25803.0,10431.0,1,32,+,37.0,3,3,2,1
2018-11-20 15:58:00,2018-11-20 15:59:00,25803.0,25804.0,25803.0,25804.0,448.0,0,1,+,1.0,1,0,0,0
2018-11-20 15:59:00,2018-11-20 16:02:00,25804.0,25818.0,25799.0,25799.0,1384.0,1,3,-,19.0,1,0,0,1
2018-11-20 16:02:00,2018-11-20 16:26:00,25799.0,25806.0,25764.0,25806.0,7603.0,0,24,+,42.0,1,1,1,0
2018-11-20 16:26:00,2018-11-20 16:27:00,25806.0,25806.0,25799.0,25799.0,177.0,1,1,-,7.0,0,1,0,0
2018-11-20 16:27:00,2018-11-20 18:23:00,25799.0,25802.0,25639.0,25676.0,7783.0,0,71,-,163.0,3,4,2,2
2018-11-20 18:23:00,2018-11-20 18:34:00,25676.0,25687.0,25667.0,25667.0,1074.0,1,11,+,20.0,1,1,0,0
2018-11-20 18:34:00,2018-11-20 18:36:00,25667.0,25677.0,25667.0,25677.0,147.0,0,2,+,10.0,1,0,0,1
2018-11-20 18:36:00,2018-11-20 18:37:00,25677.0,25677.0,25667.0,25667.0,26.0,1,1,-,10.0,1,0,0,0
2018-11-20 18:37:00,2018-11-20 18:38:00,25667.0,25673.0,25667.0,25673.0,57.0,0,1,+,6.0,1,0,0,0
2018-11-20 18:38:00,2018-11-20 19:29:00,25673.0,25719.0,25673.0,25690.0,3240.0,1,51,+,46.0,3,2,4,3
2018-11-20 19:29:00,2018-11-20 19:33:00,25690.0,25697.0,25676.0,25697.0,625.0,0,4,+,21.0,1,0,1,1
2018-11-20 19:33:00,2018-11-20 20:03:00,25697.0,25771.0,25697.0,25723.0,3781.0,1,30,+,74.0,2,1,3,4
2018-11-20 20:03:00,2018-11-20 20:04:00,25723.0,25730.0,25723.0,25730.0,102.0,0,1,+,7.0,1,0,0,0
2018-11-20 20:04:00,2018-11-20 20:07:00,25730.0,25734.0,25718.0,25718.0,261.0,1,3,-,16.0,1,0,0,0
2018-11-20 20:07:00,2018-11-20 20:08:00,25718.0,25728.0,25718.0,25728.0,79.0,0,1,+,10.0,1,0,0,0
2018-11-20 20:08:00,2018-11-20 20:11:00,25728.0,25733.0,25722.0,25722.0,279.0,1,3,+,11.0,1,0,0,0
2018-11-20 20:11:00,2018-11-20 20:13:00,25722.0,25730.0,25722.0,25730.0,60.0,0,2,+,8.0,1,0,0,0
2018-11-20 20:13:00,2018-11-20 20:14:00,25730.0,25730.0,25729.0,25729.0,41.0,1,1,-,1.0,1,0,0,0
2018-11-20 20:14:00,2018-11-20 21:20:00,25729.0,25729.0,25631.0,25673.0,6334.0,0,66,-,98.0,4,4,5,4
2018-11-20 21:20:00,2018-11-20 21:22:00,25673.0,25677.0,25667.0,25667.0,235.0,1,2,-,10.0,0,1,1,0
2018-11-20 21:22:00,2018-11-20 21:24:00,25667.0,25672.0,25657.0,25672.0,217.0,0,2,+,15.0,0,1,1,1
2018-11-20 21:24:00,2018-11-20 21:41:00,25672.0,25691.0,25656.0,25656.0,1973.0,1,17,+,35.0,3,3,1,2
2018-11-20 21:41:00,2018-11-20 22:40:00,25656.0,25656.0,25524.0,25623.0,11732.0,0,59,-,132.0,3,3,8,7
2018-11-20 22:40:00,2018-11-20 22:48:00,25623.0,25623.0,25584.0,25584.0,2092.0,1,8,-,39.0,0,1,2,1
2018-11-20 22:48:00,2018-11-20 23:32:00,25584.0,25584.0,25445.0,25540.0,11026.0,0,44,-,139.0,2,3,1,2
2018-11-20 23:32:00,2018-11-20 23:34:00,25540.0,25540.0,25519.0,25519.0,298.0,1,2,-,21.0,0,1,0,0
2018-11-20 23:34:00,2018-11-20 23:37:00,25519.0,25535.0,25509.0,25535.0,599.0,0,3,+,26.0,0,1,0,0
2018-11-20 23:37:00,2018-11-21 00:00:00,25535.0,25628.0,25535.0,25622.0,4038.0,0,23,+,93.0,1,2,1,3
2018-11-21 00:00:00,2018-11-21 00:18:00,25622.0,25638.0,25565.0,25565.0,2276.0,1,18,+,73.0,1,1,2,0
2018-11-21 00:18:00,2018-11-21 00:20:00,25565.0,25569.0,25562.0,25569.0,247.0,0,2,+,7.0,1,0,0,0
2018-11-21 00:20:00,2018-11-21 00:21:00,25569.0,25569.0,25566.0,25566.0,48.0,1,1,-,3.0,1,0,0,0
2018-11-21 00:21:00,2018-11-21 00:22:00,25566.0,25577.0,25566.0,25577.0,67.0,0,1,+,11.0,1,0,0,0
2018-11-21 00:22:00,2018-11-21 00:24:00,25577.0,25579.0,25550.0,25550.0,174.0,1,2,-,29.0,1,0,1,0
2018-11-21 00:24:00,2018-11-21 00:38:00,25550.0,25581.0,25530.0,25581.0,1014.0,0,14,+,51.0,1,1,1,0
2018-11-21 00:38:00,2018-11-21 09:15:00,25581.0,25637.0,25457.0,25457.0,3100.0,1,22,+,180.0,2,2,0,2
2018-11-21 09:15:00,2018-11-21 09:34:00,25457.0,25563.0,25425.0,25563.0,18454.0,0,19,+,138.0,1,1,2,4
2018-11-21 09:34:00,2018-11-21 09:35:00,25563.0,25563.0,25528.0,25528.0,1267.0,1,1,-,35.0,0,1,1,0
2018-11-21 09:35:00,2018-11-21 09:40:00,25528.0,25553.0,25503.0,25553.0,5091.0,0,5,+,50.0,0,1,0,1
2018-11-21 09:40:00,2018-11-21 09:42:00,25553.0,25564.0,25546.0,25546.0,1705.0,1,2,-,18.0,0,1,0,0
2018-11-21 09:42:00,2018-11-21 09:45:00,25546.0,25566.0,25517.0,25566.0,2553.0,0,3,+,49.0,0,1,0,1
2018-11-21 09:45:00,2018-11-21 10:38:00,25566.0,25775.0,25553.0,25644.0,50480.0,1,53,+,222.0,2,2,3,4
2018-11-21 10:38:00,2018-11-21 10:45:00,25644.0,25680.0,25627.0,25680.0,4735.0,0,7,+,53.0,1,1,0,0
2018-11-21 10:45:00,2018-11-21 10:51:00,25680.0,25694.0,25658.0,25658.0,4506.0,1,6,+,36.0,0,1,0,0
2018-11-21 10:51:00,2018-11-21 10:52:00,25658.0,25674.0,25658.0,25674.0,411.0,0,1,+,16.0,0,1,0,0
2018-11-21 10:52:00,2018-11-21 10:53:00,25674.0,25674.0,25671.0,25671.0,382.0,1,1,-,3.0,0,1,0,0
2018-11-21 10:53:00,2018-11-21 10:54:00,25671.0,25708.0,25671.0,25708.0,757.0,0,1,+,37.0,0,1,0,1
2018-11-21 10:54:00,2018-11-21 13:08:00,25708.0,25821.0,25693.0,25762.0,39986.0,1,74,+,128.0,4,4,4,4
2018-11-21 13:08:00,2018-11-21 13:09:00,25762.0,25774.0,25762.0,25774.0,564.0,0,1,+,12.0,1,0,0,0
2018-11-21 13:09:00,2018-11-21 13:18:00,25774.0,25785.0,25738.0,25738.0,3544.0,1,9,-,47.0,1,0,1,0
2018-11-21 13:18:00,2018-11-21 13:23:00,25738.0,25776.0,25738.0,25776.0,2148.0,0,5,+,38.0,1,0,0,0
2018-11-21 13:23:00,2018-11-21 13:40:00,25776.0,25818.0,25775.0,25779.0,9226.0,1,17,+,43.0,2,1,0,0
2018-11-21 13:40:00,2018-11-21 13:41:00,25779.0,25789.0,25779.0,25789.0,270.0,0,1,+,10.0,1,0,0,0
2018-11-21 13:41:00,2018-11-21 13:48:00,25789.0,25806.0,25775.0,25775.0,3200.0,1,7,-,31.0,1,0,0,0
2018-11-21 13:48:00,2018-11-21 13:49:00,25775.0,25785.0,25775.0,25785.0,270.0,0,1,+,10.0,1,0,0,0
