开始时间,结束时间,开盘,最高,最低,收盘,成交量,60均线上/下方(1/0),K线数量,涨/跌趋势(+/-),此波幅度,macd波数,异动小于-1.5倍,异动大于1.5倍
2018-01-03 09:15:00,2018-01-03 10:45:00,30574.0,30749.0,30574.0,30678.0,50966.0,1,90,+,175.0,8,6,8
2018-01-03 10:45:00,2018-01-03 11:25:00,30678.0,30686.0,30571.0,30664.0,17859.0,0,40,-,115.0,2,3,4
2018-01-03 11:25:00,2018-01-03 11:46:00,30664.0,30669.0,30635.0,30635.0,3675.0,1,21,+,34.0,4,0,0
2018-01-03 11:46:00,2018-01-03 11:47:00,30635.0,30640.0,30635.0,30640.0,98.0,0,1,+,5.0,1,0,0
2018-01-03 11:47:00,2018-01-03 11:50:00,30640.0,30640.0,30631.0,30631.0,323.0,1,3,-,9.0,1,0,0
2018-01-03 11:50:00,2018-01-03 11:58:00,30631.0,30638.0,30609.0,30638.0,1285.0,0,8,+,29.0,1,2,0
2018-01-03 11:58:00,2018-01-03 13:02:00,30638.0,30643.0,30630.0,30630.0,891.0,1,4,-,13.0,2,0,0
2018-01-03 13:02:00,2018-01-03 14:05:00,30630.0,30638.0,30514.0,30587.0,18902.0,0,63,-,124.0,7,3,6
2018-01-03 14:05:00,2018-01-03 14:06:00,30587.0,30587.0,30577.0,30577.0,428.0,1,1,-,10.0,1,0,1
2018-01-03 14:06:00,2018-01-03 14:18:00,30577.0,30578.0,30559.0,30578.0,2859.0,0,12,-,19.0,2,1,0
2018-01-03 14:18:00,2018-01-03 14:32:00,30578.0,30617.0,30558.0,30558.0,5362.0,1,14,-,59.0,3,2,1
2018-01-03 14:32:00,2018-01-03 14:54:00,30558.0,30569.0,30521.0,30569.0,6548.0,0,22,+,48.0,2,1,2
2018-01-03 14:54:00,2018-01-03 14:55:00,30569.0,30569.0,30560.0,30560.0,215.0,1,1,-,9.0,1,0,0
2018-01-03 14:55:00,2018-01-03 15:00:00,30560.0,30573.0,30560.0,30573.0,1101.0,0,5,+,13.0,1,0,0
2018-01-03 15:00:00,2018-01-03 15:02:00,30573.0,30573.0,30548.0,30548.0,603.0,1,2,-,25.0,1,0,1
2018-01-03 15:02:00,2018-01-03 15:04:00,30548.0,30593.0,30548.0,30593.0,1185.0,0,2,+,45.0,1,1,0
2018-01-03 15:04:00,2018-01-03 15:18:00,30593.0,30603.0,30568.0,30568.0,3505.0,1,14,+,35.0,2,0,1
2018-01-03 15:18:00,2018-01-03 15:19:00,30568.0,30578.0,30568.0,30578.0,319.0,0,1,+,10.0,1,0,0
2018-01-03 15:19:00,2018-01-03 15:30:00,30578.0,30602.0,30570.0,30570.0,2117.0,1,11,-,32.0,1,0,1
2018-01-03 15:30:00,2018-01-03 15:31:00,30570.0,30582.0,30570.0,30582.0,189.0,0,1,+,12.0,1,0,0
2018-01-03 15:31:00,2018-01-03 15:59:00,30582.0,30611.0,30576.0,30583.0,5238.0,1,28,+,35.0,7,0,1
2018-01-03 15:59:00,2018-01-03 16:00:00,30583.0,30597.0,30583.0,30597.0,360.0,0,1,+,14.0,1,1,0
